,Labels by Airbnb,neighbourhood,neighbourhood_group,Latitude,Longitude,Avg Price,Airbnb number,Std Price,Lowest Price,Highest Price,Median Price,Total Reviews,Median Reviews,Most Review,Least Review,Avg Reviews
152,0,Parkchester,Bronx,40.8382522,-73.8566087,69.08,39,51.67,25,300,55.0,911,10.0,121,0,23.0
153,0,Pelham Bay,Bronx,40.8505556,-73.83333329999999,105.0,17,64.42,37,299,89.0,442,8.0,113,0,26.0
154,0,Pelham Gardens,Bronx,40.8627726,-73.84343919999999,93.61,28,90.48,20,450,75.0,1140,38.5,138,0,41.0
155,0,Port Morris,Bronx,40.8022025,-73.9166051,79.89,46,51.08,28,220,62.5,948,8.0,152,0,21.0
156,0,Port Richmond,Staten Island,40.63549140000001,-74.1254641,90.11,9,82.85,40,250,50.0,153,13.0,63,0,17.0
157,0,Prince's Bay,Staten Island,40.52899439999999,-74.197644,409.5,4,561.88,85,1250,151.5,23,4.0,15,0,6.0
158,3,Prospect Heights,Brooklyn,40.6774196,-73.9668408,173.37,357,287.2,34,4000,124.0,10875,8.0,258,0,30.0
159,3,Prospect-Lefferts Gardens,Brooklyn,40.6592355,-73.9533895,110.4,535,149.58,22,2545,80.0,14051,8.0,401,0,26.0
160,0,Queens Village,Queens,40.7156628,-73.7419017,83.93,60,48.85,25,320,75.0,2147,17.0,252,0,36.0
161,0,Randall Manor,Staten Island,40.6410598,-74.103441,336.0,19,1130.12,13,5000,79.0,342,9.0,131,0,18.0
162,0,Red Hook,Brooklyn,40.6733676,-74.00831889999999,143.46,79,114.56,30,750,117.0,2263,8.0,190,0,29.0
163,0,Rego Park,Queens,40.72557219999999,-73.8624893,83.88,106,60.49,21,300,67.0,2754,11.0,175,0,26.0
164,0,Richmond Hill,Queens,40.6958108,-73.8272029,87.12,94,58.94,28,300,65.0,3230,13.5,424,0,34.0
165,0,Richmondtown,Staten Island,40.5673546,-74.1342726,78.0,1,0.0,78,78,78.0,79,79.0,79,79,79.0
166,3,Ridgewood,Queens,40.7043986,-73.9018292,77.18,423,51.28,20,375,60.0,7778,3.0,289,0,18.0
167,0,Riverdale,Bronx,40.89961830000001,-73.9088276,442.09,11,724.4,49,2500,150.0,293,2.0,202,0,27.0
168,0,Rockaway Beach,Queens,40.5860224,-73.81662589999999,132.18,56,79.09,49,545,125.0,1358,13.5,186,0,24.0
169,0,Roosevelt Island,Manhattan,40.76050310000001,-73.9509934,113.26,77,157.73,30,1400,80.0,1214,2.0,178,0,16.0
170,0,Rosebank,Staten Island,40.6139932,-74.0662521,111.86,7,50.06,55,200,100.0,215,19.0,88,1,31.0
171,0,Rosedale,Queens,40.6584068,-73.7389596,76.69,59,54.44,22,350,65.0,1673,12.0,144,0,28.0
172,0,Rossville,Staten Island,40.5456634,-74.21634279999999,75.0,1,0.0,75,75,75.0,21,21.0,21,21,21.0
173,0,Schuylerville,Bronx,40.83665389999999,-73.83378909999999,69.23,13,32.75,20,150,65.0,423,22.0,118,1,33.0
174,0,Sea Gate,Brooklyn,40.5768098,-74.0079781,487.86,7,626.9,71,1485,125.0,10,1.0,6,0,1.0
175,0,Sheepshead Bay,Brooklyn,40.5953955,-73.94575379999999,105.77,164,174.21,20,2000,65.0,3262,5.0,174,0,20.0
176,0,Shore Acres,Staten Island,40.6084816,-74.0684795,152.71,7,106.57,54,300,100.0,146,0.0,76,0,21.0
177,0,Silver Lake,Staten Island,40.6245495,-74.0916944,70.0,2,14.14,60,80,70.0,237,118.5,147,90,118.0
178,3,SoHo,Manhattan,40.723301,-74.0029883,287.1,358,305.66,10,3000,199.0,7235,5.0,228,0,20.0
179,0,Soundview,Bronx,40.8247728,-73.8695889,53.47,15,19.12,28,103,49.0,441,19.0,105,0,29.0
180,0,South Beach,Staten Island,40.5903824,-74.06680759999999,89.25,8,80.4,20,275,67.5,95,8.0,38,1,12.0
181,0,South Ozone Park,Queens,40.6764003,-73.8124984,82.4,40,67.97,29,400,69.0,1947,19.5,310,0,49.0
182,3,South Slope,Brooklyn,40.6605508,-73.9874105,146.73,284,82.99,40,500,135.0,10405,7.5,467,0,37.0
183,3,Springfield Gardens,Queens,40.6715916,-73.779798,94.24,85,49.91,40,300,80.0,5873,17.0,434,0,69.0
184,0,Spuyten Duyvil,Bronx,40.88116369999999,-73.9154069,154.75,4,139.11,60,360,99.5,70,8.0,47,7,18.0
185,0,St. Albans,Queens,40.6895283,-73.76436880000001,100.83,76,97.42,25,600,61.5,2584,18.0,190,0,34.0
186,0,St. George,Staten Island,40.6427017,-74.0799469,118.15,48,138.91,29,1000,96.0,1987,11.0,234,0,41.0
187,0,Stapleton,Staten Island,40.6264929,-74.07764139999999,98.96,27,86.49,34,450,75.0,1036,21.0,177,0,38.0
188,0,Stuyvesant Town,Manhattan,40.7316903,-73.9778494,169.11,37,245.11,45,1500,115.0,302,1.0,150,0,8.0
189,3,Sunnyside,Queens,40.7432759,-73.9196324,84.87,363,52.23,12,600,75.0,8070,5.0,258,0,22.0
190,3,Sunset Park,Brooklyn,40.65272,-74.00933479999999,113.04,390,160.8,10,2000,80.0,7882,7.0,220,0,20.0
191,0,Theater District,Manhattan,40.759011,-73.9844722,248.01,288,258.22,40,3000,190.0,4342,1.0,330,0,15.0
192,0,Throgs Neck,Bronx,40.818399,-73.8213213,91.04,24,59.54,40,325,74.5,769,12.0,266,0,32.0
193,0,Todt Hill,Staten Island,40.5975007,-74.10189749999999,169.0,4,177.36,50,429,98.5,16,4.0,6,2,4.0
194,0,Tompkinsville,Staten Island,40.63259559999999,-74.0872892,76.19,42,44.98,30,245,62.5,2400,27.5,333,0,57.0
